REFERENCIA|DESCRIPCION|MATERIAL / FABRICANTE|FECHA | COSTO | PRECIO |12|50|100|300|500|1000
BORDADOS|D|||||3%|5%|10%|15%|20%|25%
DP|Programación de Logo - Para menos de 20 unidades|Hilo|13/01/2016|$15.000|$30.000|$29.100|$28.500|$27.000|$25.500|$2.814|$22.500
DF|Logo bordado tamaño frontal|Hilo|13/01/2016|$1.500|$3.000|$2.910|$2.850|$2.700|$2.550|$2.400|$2.250
DM|Logo bordado tamaño frontal, ubicado en Manga|Hilo|13/01/2016|$1.500|$3.000|$2.910|$2.850|$2.700|$2.550|$2.400|$2.250
DE|Logo bordado tamaño espalda Tamaño estandar|Hilo|13/01/2016|$2.500|$5.000|$4.850|$4.750|$4.500|$4.250|$4.000|$3.750
DE_4|Logo bordado tamaño espalda Tamaño Carta|Hilo|13/01/2016|$4.500|$9.000|$8.730|$8.550|$8.100|$7.650|$7.200|$6.750
DJ|Juego de dos bordados tamaño pecho y espalda|Hilo|13/01/2016|$4.000|$8.000|$7.760|$7.600|$7.200|$6.800|$6.400|$6.000
DJ900|Juego de dos bordados tamaño pecho y uno tamaño espalda 45x34 Overoles hechizo|Hilo||$13.300|$26.600|$25.802|$25.270|$23.940|$22.610|$21.280|$19.950
ESTAMPADOS|S||||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -
SM|Arte de Estampado (Para menos de 30 unidades)|N/A|29/03/2016|$10.000|$20.000|$19.400|$19.000|$18.000|$17.000|$16.000|$15.000
SE1|Estampado tamaño Espalda a una tinta|Serigrafía|29/03/2016|$1.500|$3.000|$2.910|$2.850|$2.700|$2.550|$2.400|$2.250
SE2|Estampado tamaño Espalda a dos tintas|Serigrafía|29/03/2016|$2.000|$4.000|$3.880|$3.800|$3.600|$3.400|$3.200|$3.000
SE3|Estampado tamaño Espalda a tres tintas|Serigrafía|29/03/2016|$3.000|$6.000|$5.820|$5.700|$5.400|$5.100|$4.800|$4.500
SE5|Estampado Tamaño carta a dos tintas|Serigrafía|29/03/2016|$3.500|$7.000|$6.790|$6.650|$6.300|$5.950|$5.600|$5.250
SE6|Palabra Brigadista Reflectiva|Transfer Reflectivo|14/05/2015|$6.000|$12.000|$11.640|$11.400|$10.800|$10.200|$9.600|$9.000
SEP|Estampado tamaño Espalda Policromía|Serigrafía|29/03/2016|$4.500|$9.000|$8.730|$8.550|$8.100|$7.650|$7.200|$6.750
SF1|Estampado tamaño Frontal a una tinta|Serigrafía|29/03/2016|$1.000|$2.000|$1.940|$1.900|$1.800|$1.700|$1.600|$1.500
SF2|Estampado tamaño Frontal a dos tintas|Serigrafía|29/03/2016|$1.500|$3.000|$2.910|$2.850|$2.700|$2.550|$2.400|$2.250
SFE1|Estampado tamaño Frontal y Espalda a una tinta|Serigrafía|29/03/2016|$2.500|$5.000|$4.850|$4.750|$4.500|$4.250|$4.000|$3.750
SFE2|Estampado tamaño Frontal y Espalda a dos tindas|Serigrafía|29/03/2016|$3.500|$7.000|$6.790|$6.650|$6.300|$5.950|$5.600|$5.250
SFEP|Estampado tamaño Frontal y Espalda Policromía|Serigrafía|29/03/2016|$7.000|$14.000|$13.580|$13.300|$12.600|$11.900|$11.200|$10.500
